"";"NÃO";"SIM";"p";"test"
"n";"307";"54";"";""
"CAE (%)";"";"";" 0,524";"exact"
"   CMF";"  1 ( 0,3) ";" 0 ( 0,0) ";"";""
"   COLUNA";" 16 ( 5,2) ";" 4 ( 7,4) ";"";""
"   JOELHO";"116 (37,8) ";"21 (38,9) ";"";""
"   MÃO";"  2 ( 0,7) ";" 2 ( 3,7) ";"";""
"   McR";"  2 ( 0,7) ";" 0 ( 0,0) ";"";""
"   OMBRO";"  2 ( 0,7) ";" 0 ( 0,0) ";"";""
"   ONCO";" 13 ( 4,2) ";" 0 ( 0,0) ";"";""
"   PÉ";" 13 ( 4,2) ";" 2 ( 3,7) ";"";""
"   QUADRIL";" 67 (21,8) ";"14 (25,9) ";"";""
"   TRAUMA";" 75 (24,4) ";"11 (20,4) ";"";""
