"";"NÃO";"SIM";"p";"test"
"n";"352";"12";"";""
"CAE (%)";"";"";" 0,059";"exact"
"   COLUNA";" 20 ( 5,7) ";"0 ( 0,0) ";"";""
"   CRANIO MAXILO-FACIAL";"  1 ( 0,3) ";"0 ( 0,0) ";"";""
"   JOELHO";"133 (37,8) ";"1 ( 8,3) ";"";""
"   MÃO";"  4 ( 1,1) ";"0 ( 0,0) ";"";""
"   MICROCIRURGIA";"  2 ( 0,6) ";"0 ( 0,0) ";"";""
"   OMBRO";"  2 ( 0,6) ";"0 ( 0,0) ";"";""
"   PÉ";" 13 ( 3,7) ";"2 (16,7) ";"";""
"   QUADRIL";" 77 (21,9) ";"7 (58,3) ";"";""
"   TRAUMA";" 87 (24,7) ";"2 (16,7) ";"";""
"   TUMOR";" 13 ( 3,7) ";"0 ( 0,0) ";"";""
