"";"NÃO";"SIM";"p";"test"
"n";"290";"50";"";""
"Grupo (%)";"";"";" 0,187";"exact"
"   CIRURGIA VASCULAR";"  1 ( 0,3) ";" 0 ( 0,0) ";"";""
"   COLUNA";" 12 ( 4,1) ";" 5 (10,0) ";"";""
"   CRANIO MAXILO-FACIAL";"  0 ( 0,0) ";" 1 ( 2,0) ";"";""
"   JOELHO";"110 (37,9) ";"17 (34,0) ";"";""
"   MÃO";"  4 ( 1,4) ";" 0 ( 0,0) ";"";""
"   MICROCIRURGIA";"  1 ( 0,3) ";" 1 ( 2,0) ";"";""
"   OMBRO";"  3 ( 1,0) ";" 0 ( 0,0) ";"";""
"   PÉ";" 12 ( 4,1) ";" 3 ( 6,0) ";"";""
"   QUADRIL";" 61 (21,0) ";"12 (24,0) ";"";""
"   TRAUMA";" 74 (25,5) ";"11 (22,0) ";"";""
"   TUMOR";" 12 ( 4,1) ";" 0 ( 0,0) ";"";""
