"";"NÃO";"SIM";"p";"test"
"n";"360";"5";"";""
"Grupo (%)";"";"";" 0,577";"exact"
"   CIRURGIA VASCULAR";"  1 ( 0,3) ";"0 ( 0,0) ";"";""
"   COLUNA";" 20 ( 5,6) ";"0 ( 0,0) ";"";""
"   CRANIO MAXILO-FACIAL";"  1 ( 0,3) ";"0 ( 0,0) ";"";""
"   JOELHO";"132 (36,7) ";"2 (40,0) ";"";""
"   MÃO";"  4 ( 1,1) ";"0 ( 0,0) ";"";""
"   MICROCIRURGIA";"  2 ( 0,6) ";"0 ( 0,0) ";"";""
"   OMBRO";"  2 ( 0,6) ";"0 ( 0,0) ";"";""
"   PÉ";" 15 ( 4,2) ";"0 ( 0,0) ";"";""
"   QUADRIL";" 83 (23,1) ";"1 (20,0) ";"";""
"   TRAUMA";" 88 (24,4) ";"1 (20,0) ";"";""
"   TUMOR";" 12 ( 3,3) ";"1 (20,0) ";"";""
