"";"FALSE";"TRUE";"p";"test"
"n";"15";"319";"";""
"Grupo (%)";"";"";" 0,033";"exact"
"   CIRURGIA VASCULAR";"0 ( 0,0) ";"  1 ( 0,3) ";"";""
"   COLUNA";"0 ( 0,0) ";" 17 ( 5,3) ";"";""
"   CRANIO MAXILO-FACIAL";"0 ( 0,0) ";"  1 ( 0,3) ";"";""
"   JOELHO";"4 (26,7) ";"121 (37,9) ";"";""
"   MÃO";"0 ( 0,0) ";"  4 ( 1,3) ";"";""
"   MICROCIRURGIA";"2 (13,3) ";"  0 ( 0,0) ";"";""
"   OMBRO";"0 ( 0,0) ";"  3 ( 0,9) ";"";""
"   PÉ";"0 ( 0,0) ";" 15 ( 4,7) ";"";""
"   QUADRIL";"6 (40,0) ";" 65 (20,4) ";"";""
"   TRAUMA";"3 (20,0) ";" 80 (25,1) ";"";""
"   TUMOR";"0 ( 0,0) ";" 12 ( 3,8) ";"";""
