"";"FALSE";"TRUE";"p";"test"
"n";"325";"86";"";""
"Grupo (%)";"";"";" 0,651";"exact"
"   COLUNA";" 18 ( 5,5) ";" 2 ( 2,3) ";"";""
"   CRANIO MAXILO-FACIAL";"  2 ( 0,6) ";" 0 ( 0,0) ";"";""
"   JOELHO";"113 (34,8) ";"36 (41,9) ";"";""
"   MÃO";"  4 ( 1,2) ";" 0 ( 0,0) ";"";""
"   MICROCIRURGIA";"  3 ( 0,9) ";" 0 ( 0,0) ";"";""
"   OMBRO";"  2 ( 0,6) ";" 1 ( 1,2) ";"";""
"   PÉ";" 17 ( 5,2) ";" 5 ( 5,8) ";"";""
"   QUADRIL";" 65 (20,0) ";"22 (25,6) ";"";""
"   TRAUMA";" 88 (27,1) ";"17 (19,8) ";"";""
"   TUMOR";" 13 ( 4,0) ";" 3 ( 3,5) ";"";""
