"";"FALSE";"TRUE";"p";"test"
"n";"131";"177";"";""
"Grupo (%)";"";"";" NA";"exact"
"   CIRURGIA VASCULAR";" 0 ( 0,0) ";" 1 ( 0,6) ";"";""
"   COLUNA";" 3 ( 2,3) ";" 9 ( 5,1) ";"";""
"   CRANIO MAXILO-FACIAL";" 0 ( 0,0) ";" 1 ( 0,6) ";"";""
"   JOELHO";"47 (35,9) ";"76 (42,9) ";"";""
"   MÃO";" 1 ( 0,8) ";" 2 ( 1,1) ";"";""
"   MICROCIRURGIA";" 2 ( 1,5) ";" 0 ( 0,0) ";"";""
"   OMBRO";" 0 ( 0,0) ";" 1 ( 0,6) ";"";""
"   PÉ";" 8 ( 6,1) ";" 5 ( 2,8) ";"";""
"   QUADRIL";"20 (15,3) ";"45 (25,4) ";"";""
"   TRAUMA";"44 (33,6) ";"32 (18,1) ";"";""
"   TUMOR";" 6 ( 4,6) ";" 5 ( 2,8) ";"";""
