"";"F";"M";"p";"test"
"n";"226";"138";"";""
"Numero.Comorbidades (%)";"";" ";" 0,907";"exact"
"   0";" 44 (19,5) ";" 29 (21,0) ";"";""
"   1";"100 (44,2) ";" 60 (43,5) ";"";""
"   2";" 66 (29,2) ";" 39 (28,3) ";"";""
"   3";" 13 ( 5,8) ";"  8 ( 5,8) ";"";""
"   4";"  3 ( 1,3) ";"  1 ( 0,7) ";"";""
"   6";"  0 ( 0,0) ";"  1 ( 0,7) ";"";""
"Artrite.Reumatoide = SIM (%)";"  9 ( 4,0) ";"  7 ( 5,1) ";" 0,610";"exact"
"AVC = SIM (%)";"  4 ( 1,8) ";"  7 ( 5,1) ";" 0,111";"exact"
"Cardiopatia = SIM (%)";" 15 ( 6,6) ";" 11 ( 8,0) ";" 0,677";"exact"
"DM = SIM (%)";" 24 (10,6) ";" 16 (11,6) ";" 0,863";"exact"
"Doenca.Reumatica = SIM (%)";"  3 ( 1,3) ";"  2 ( 1,4) ";" 1,000";"exact"
"HAS = SIM (%)";"148 (65,5) ";" 94 (68,1) ";" 0,648";"exact"
"Obesidade = SIM (%)";" 80 (39,4) ";" 35 (27,6) ";" 0,033";"exact"
