"";"< 65 anos";">= 65 anos";"p";"test"
"n";"157";"204";"";""
"Numero.Medicamentos (%)";"";"";" 0,129";"exact"
"   0";"  8 ( 5,1) ";"  5 ( 2,5) ";"";""
"   1";" 49 (31,2) ";" 46 (22,5) ";"";""
"   2";" 85 (54,1) ";"135 (66,2) ";"";""
"   3";" 14 ( 8,9) ";" 17 ( 8,3) ";"";""
"   4";"  1 ( 0,6) ";"  1 ( 0,5) ";"";""
"Dabigatrana = SIM (%)";"  2 ( 1,3) ";"  3 ( 1,5) ";" 1,000";"exact"
"Enoxaparina = SIM (%)";"148 (94,3) ";"198 (97,1) ";" 0,197";"exact"
"Rivaroxabana = SIM (%)";" 29 (18,5) ";" 48 (23,5) ";" 0,300";"exact"
"Varfarina = SIM (%)";" 86 (57,0) ";"122 (61,6) ";" 0,381";"exact"
